,Texts,SWN Analysis,Emotions
1,"I really hope USM authorities don't hurt this page, as I sincerely feel that our fellow admins totally deserved to be our virtual MPP, as we got no way to reach or approach our official MPP.",Positive,"{'Happy': 0.0, 'Angry': 0.0, 'Surprise': 0.2, 'Sad': 0.2, 'Fear': 0.6}"
2,I know it's hard time we going through but yet still has been desire for 2020 to get their convocation done. Is it impossible to have batch 2020 convo and 2021 this year maybe mpp can answer this question.,Negative,"{'Happy': 0.0, 'Angry': 0.33, 'Surprise': 0.0, 'Sad': 0.33, 'Fear': 0.33}"
3,"The only thing we need right now is Apology Statement from S**j*na management itself. No point of other organisation apologizing for things they didn't do. We need the oppressors to apologize for what they did to the other innocent residents. Yes, students at fault should be punished accordingly but, what about the other students' privacy that were compromised that night? How will Saujana make sure that this won't happen again (since this is not their first case… See More",Negative,"{'Happy': 0.0, 'Angry': 0.0, 'Surprise': 0.33, 'Sad': 0.5, 'Fear': 0.17}"
4,USM WE ALWAYS LEAD,Positive,"{'Happy': 0.0, 'Angry': 0.0, 'Surprise': 0.0, 'Sad': 1.0, 'Fear': 0.0}"
5,"Is it wrong for me to think ""why have kids when ur not financially capable of providing for them?"" everytime i see parents unable to give kids especially newborns milk and food..... And also at those poor countries why are u guys having kids.... Am i missing some information... I always keep this to myself whenever i hear or see about it since it feels wrong to tell it out loud and it even feels wrong to think that way.... But why is it wrong?",Negative,"{'Happy': 0.25, 'Angry': 0.0, 'Surprise': 0.17, 'Sad': 0.33, 'Fear': 0.25}"
6,#USMCFS24944,Neutral,"{'Happy': 0, 'Angry': 0, 'Surprise': 0, 'Sad': 0, 'Fear': 0}"
7,WF !!!!,Neutral,"{'Happy': 0, 'Angry': 0, 'Surprise': 0, 'Sad': 0, 'Fear': 0}"
8,你以为你长得好看 成绩好就很了不起是吗？,Neutral,"{'Happy': 0, 'Angry': 0, 'Surprise': 0, 'Sad': 0, 'Fear': 0}"
9,"QUESTION STUDY INVESTIGATION OF FALSAFAH COURSE AND CURRENT ISSUE,· See original  · Rate this translation",Neutral,"{'Happy': 0.0, 'Angry': 0.0, 'Surprise': 0.33, 'Sad': 0.0, 'Fear': 0.67}"
10,全部自己讲自己爽?,Neutral,"{'Happy': 0, 'Angry': 0, 'Surprise': 0, 'Sad': 0, 'Fear': 0}"
11,Hii USM seniors! I have a few questions regarding the interview for Pharmacy course,Neutral,"{'Happy': 0.5, 'Angry': 0.0, 'Surprise': 0.0, 'Sad': 0.0, 'Fear': 0.5}"
12,Is simping allowed in USM confession? Because holy shit … See More,Negative,"{'Happy': 0.0, 'Angry': 0.0, 'Surprise': 1.0, 'Sad': 0.0, 'Fear': 0.0}"
14,If i submit a pic from the phone... Will the picture appear? I tried but no picture appeared n i scared to press submit like what if the picture didnot get uploaded ?,Positive,"{'Happy': 0.0, 'Angry': 0.0, 'Surprise': 0.0, 'Sad': 0.75, 'Fear': 0.25}"
15,"now that im back in campus, have no roommate, all alone while its lockdown. as an introvert its not much of problem but i do get lonely too sometimes :') my friends are either at other hostel or at home now. i go out only to find food. then back at my room staring at phone/laptop only. i wanna make friends with my new cubemates but im shy idk :') send help :')))",Positive,"{'Happy': 0.18, 'Angry': 0.0, 'Surprise': 0.09, 'Sad': 0.45, 'Fear': 0.27}"
18,Olah! Mosi mita?… See More,Neutral,"{'Happy': 0, 'Angry': 0, 'Surprise': 0, 'Sad': 0, 'Fear': 0}"
